omega_max_tab,reflection
20.0,0.9907820569774144
36.55172413793103,0.907067239301614
53.10344827586207,0.8205501518957954
69.65517241379311,0.7558270808910357
86.20689655172414,0.706301034736551
102.75862068965517,0.6671201291285191
119.31034482758622,0.6350121324725402
135.86206896551727,0.6081111151809342
152.41379310344828,0.585106315302873
168.96551724137933,0.5650904882163358
185.51724137931035,0.5474531889512395
202.0689655172414,0.5316285039222584
218.62068965517244,0.5172960708205149
235.17241379310346,0.5041721040467817
251.7241379310345,0.4920323532903348
268.2758620689655,0.4807235977896446
284.82758620689657,0.4700457155059501
301.3793103448276,0.45990817278490226
317.93103448275866,0.45021378494486086
334.48275862068965,0.4408831890335111
351.0344827586207,0.4318735110260664
367.58620689655174,0.4230897046980613
384.1379310344828,0.4145136528741983
400.68965517241384,0.4061151425934738
417.2413793103449,0.3978731464545837
433.7931034482759,0.38979464759540106
450.3448275862069,0.38183648745290233
466.89655172413796,0.3740228526641415
483.448275862069,0.3663673766703802
500.0,0.3588943495068111
